BuyAndHold,LongCall,Putwrite
0.129296,0.168566,0.181937
0.0121023,-0.0501511,0.0664768
0.280438,0.436095,0.314302
0.365727,0.581135,0.382255
0.734355,1.17117,0.63406
0.243701,0.372385,0.283625
0.18331,0.265871,0.231171
0.207769,0.309287,0.252731
0.12648,0.163435,0.179305
-0.137303,-0.210251,-0.239141
0.198184,0.29232,0.244334
0.40786,0.651423,0.414274
-0.14899,-0.222889,-0.2652
-0.0484761,-0.119443,-0.0470398
0.000270121,-0.0728796,0.0540846
-0.0211696,-0.0932264,0.0100823
0.0132048,-0.0480398,0.0676241
0.243946,0.372813,0.283833
0.167145,0.23696,0.216676
-0.00983836,-0.0825614,0.0335426
0.224292,0.338401,0.26705
0.179687,0.259406,0.227939
0.0283968,-0.0190573,0.0833076
0.257072,0.395665,0.294894
-0.182657,-0.260292,-0.341405
-0.00302747,-0.0762095,0.0475773
-0.0539574,-0.124796,-0.0586092
0.0010417,-0.0713936,0.0548972
-0.0815969,-0.152271,-0.117495
0.134765,0.178511,0.187027
0.0482216,0.0184599,0.103429
-0.040192,-0.111411,-0.029621
-0.154852,-0.229295,-0.278348
0.00923631,-0.0556446,0.0634885
-0.106541,-0.177786,-0.171457
-0.119237,-0.191047,-0.199235
-0.0159001,-0.0882514,0.0210098
0.19589,0.288251,0.242315
0.130595,0.17093,0.183148
0.0828058,0.0831221,0.137636
0.0128951,-0.0486326,0.067302
0.227007,0.343169,0.269384
0.133462,0.176144,0.185817
0.251179,0.385418,0.289942
0.129129,0.168262,0.181781
-0.0211004,-0.0931608,0.0102261
0.124676,0.160147,0.177616
0.120568,0.152649,0.17376
0.379205,0.603714,0.392604
-0.156181,-0.230753,-0.281334
-0.0987008,-0.16969,-0.15441
-0.089177,-0.159951,-0.133809
-0.0013593,-0.0746604,0.0510073
0.0444405,0.0113303,0.0996206
0.0639758,0.0480366,0.119149
0.179806,0.259619,0.228046
0.216832,0.325278,0.260609
0.200167,0.295836,0.246077
-0.0204179,-0.092515,0.0116431
0.171947,0.245567,0.221002
-0.0822728,-0.152953,-0.118947
0.0878984,0.0925624,0.14258
0.257028,0.395588,0.294857
0.186394,0.271366,0.233914
-0.197071,-0.276779,-0.374569
0.260904,0.402316,0.298101
-0.043145,-0.114266,-0.0358212
0.331047,0.522624,0.355151
-0.329224,-0.44341,-0.696227
-0.097514,-0.168471,-0.151836
0.354886,0.56291,0.373857
0.145063,0.197179,0.196547
0.15729,0.219248,0.20774
0.168105,0.238682,0.217542
0.378602,0.602705,0.392143
0.021303,-0.0325649,0.0760133
-0.113438,-0.184966,-0.186519
-0.109428,-0.180785,-0.177754
0.38384,0.611457,0.39614
0.0276843,-0.0204121,0.0825772
0.0204864,-0.0341227,0.0751704
0.203069,0.300976,0.248622
0.185645,0.270032,0.233248
0.109599,0.132565,0.163394
0.111771,0.136549,0.165455
0.12312,0.157308,0.176157
0.0646604,0.0493173,0.119827
0.256266,0.394265,0.294218
0.0664773,0.0527143,0.121624
0.13459,0.178193,0.186865
0.191216,0.279948,0.238189
0.179089,0.258339,0.227405
0.319168,0.502438,0.345704
0.297631,0.465647,0.328357
